id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,city,neighbourhood_group,price_category,availability_category,review_activity,host_listing_count_x,host_type,host_listing_count_y,host_listing_count
2384,Hyde Park: 5 minute walk to Obama Presidential Ctr,2613,Rebecca,Unknown,41.7879,-87.5878,Private room,171.33,2.0,268,2026-06-08,1.92,310,Chicago,Other,Premium ($150-250),Always Available (271-365),Regular,1,Casual (1 listing),1,1
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,Unknown,41.90166,-87.68021,Entire home/apt,111.5,2.0,626,2026-05-25,3.03,247,Chicago,Other,Mid-Range ($100-150),High (181-270 days),Highly Active,1,Casual (1 listing),1,1
10945,The Biddle House (#1),33004,Elizabeth,Unknown,41.91196,-87.63981,Entire home/apt,280.16,4.0,152,2026-06-06,1.03,283,Chicago,Other,Luxury ($250+),Always Available (271-365),Regular,6,Professional (4+ listings),6,6
12140,Lincoln Park Guest House,46734,Shar And Robert,Unknown,41.92357,-87.64947,Private room,421.5,2.0,21,2026-06-21,0.16,136,Chicago,Other,Luxury ($250+),Medium (91-180 days),Occasional,1,Casual (1 listing),1,1
71930,"Rest, Relax and Explore",334241,Michael And Veronica,Unknown,41.89615,-87.67934,Private room,108.67,3.0,158,2026-06-02,0.86,326,Chicago,Other,Mid-Range ($100-150),Always Available (271-365),Occasional,1,Casual (1 listing),1,1
94450,Comfy Garden Suite in Andersonville,504470,Mark,Unknown,41.97960153312966,-87.66520525774408,Entire home/apt,198.67,2.0,48,2026-06-21,1.0,287,Chicago,Other,Premium ($150-250),Always Available (271-365),Regular,1,Casual (1 listing),1,1
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,Unknown,41.94342,-87.68121,Entire home/apt,342.78,32.0,77,2024-05-05,0.59,357,Chicago,Other,Luxury ($250+),Always Available (271-365),Occasional,19,Professional (4+ listings),19,19
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Unknown,41.91289,-87.63864,Entire home/apt,433.5,32.0,87,2024-12-02,0.65,331,Chicago,Other,Luxury ($250+),Always Available (271-365),Occasional,19,Professional (4+ listings),19,19
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,Unknown,41.929208,-87.702175,Entire home/apt,347.5,2.0,747,2026-06-15,4.15,289,Chicago,Other,Luxury ($250+),Always Available (271-365),Highly Active,1,Casual (1 listing),1,1
207218,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,Unknown,41.68843,-87.60712,Entire home/apt,72.0,32.0,322,2025-12-12,1.79,338,Chicago,Other,Economy ($50-100),Always Available (271-365),Regular,3,Growing (2-3 listings),3,3
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,Unknown,41.68954,-87.60786,Entire home/apt,56.03,32.0,49,2025-09-01,0.27,118,Chicago,Other,Economy ($50-100),Medium (91-180 days),Occasional,3,Growing (2-3 listings),3,3
220333,Pullman School House Apartment - monthly rental,1019125,Jb,Unknown,41.68912,-87.60725,Entire home/apt,70.84,32.0,10,2026-05-31,0.06,313,Chicago,Other,Economy ($50-100),Always Available (271-365),Occasional,3,Growing (2-3 listings),3,3
233933,Lovely Back Room in a New Renovated Apartment,1224828,Tippi,Unknown,41.95759,-87.72704,Private room,88.5,2.0,234,2026-06-14,1.31,25,Chicago,Other,Economy ($50-100),Low (0-90 days),Regular,2,Growing (2-3 listings),2,2
250354,Close to Michigan Ave and parks,1311953,Ronald,Unknown,41.85923,-87.62198,Entire home/apt,23.61,180.0,35,2018-01-15,0.2,358,Chicago,Other,Budget (< $50),Always Available (271-365),Occasional,1,Casual (1 listing),1,1
258253,Studio Apartment Unit 4,1358243,June,Unknown,42.0076,-87.6825,Entire home/apt,78.61,33.0,32,2026-06-03,0.18,183,Chicago,Other,Economy ($50-100),High (181-270 days),Occasional,1,Casual (1 listing),1,1
264547,Steps From the Best Chicago Offers,1387948,Dominic,Unknown,41.88413,-87.64315,Entire home/apt,225.89,32.0,63,2021-10-17,0.37,266,Chicago,Other,Premium ($150-250),High (181-270 days),Occasional,1,Casual (1 listing),1,1
349265,Spacious 4BR Home - in Captivating Hyde Park,1517871,Jon,Unknown,41.80241,-87.58825,Entire home/apt,269.0,2.0,11,2026-06-23,0.06,87,Chicago,Other,Luxury ($250+),Low (0-90 days),Occasional,2,Growing (2-3 listings),2,2
350347,2bd/2bath Urban Loft w/ 2 pkg spots 1 blk to train,845242,Jay,Unknown,41.94107,-87.65492,Entire home/apt,354.0,2.0,876,2026-06-24,5.03,252,Chicago,Other,Luxury ($250+),High (181-270 days),Highly Active,1,Casual (1 listing),1,1
507517,Private Lincoln Square Garden Apt,2501182,Nate,Unknown,41.96678,-87.6973,Entire home/apt,137.0,2.0,489,2026-06-24,2.88,220,Chicago,Other,Mid-Range ($100-150),High (181-270 days),Regular,1,Casual (1 listing),1,1
542067,Logan Square Modern Vintage Garden,2273840,Sarah,Unknown,41.93142,-87.69989,Entire home/apt,244.0,4.0,327,2026-06-07,1.92,299,Chicago,Other,Premium ($150-250),Always Available (271-365),Regular,1,Casual (1 listing),1,1
584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,Unknown,41.96528,-87.6831,Private room,82.21,32.0,58,2025-12-23,0.34,163,Chicago,Other,Economy ($50-100),Medium (91-180 days),Occasional,2,Growing (2-3 listings),2,2
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,Unknown,41.99688,-87.66449,Private room,91.33,3.0,170,2026-06-14,1.01,324,Chicago,Other,Economy ($50-100),Always Available (271-365),Regular,2,Growing (2-3 listings),2,2
651742,Edgebrook Lg bdr by golf course,2824576,Jefferson,Unknown,41.99178,-87.75747,Private room,108.5,2.0,138,2026-06-09,0.85,322,Chicago,Other,Mid-Range ($100-150),Always Available (271-365),Occasional,2,Growing (2-3 listings),2,2
662034,Edgebrook bdr by golf course,2824576,Jefferson,Unknown,41.99405,-87.75746,Private room,97.0,2.0,120,2026-06-15,0.77,351,Chicago,Other,Economy ($50-100),Always Available (271-365),Occasional,2,Growing (2-3 listings),2,2
681842,Bedrm/Bath - Swanky Northside Condo,3472696,Roxane,Unknown,41.99373,-87.68279,Private room,39.15,32.0,36,2026-05-24,0.23,214,Chicago,Other,Budget (< $50),High (181-270 days),Occasional,2,Growing (2-3 listings),2,2
697634,"2 BD Condo by downtown, park, lake",3574415,Marv,Unknown,41.90437,-87.6335,Entire home/apt,121.19,32.0,163,2025-12-20,1.03,279,Chicago,Other,Mid-Range ($100-150),Always Available (271-365),Regular,2,Growing (2-3 listings),2,2
726376,"Spacious Studio, Amazing Location!",2658212,James,Unknown,41.93903,-87.65196,Entire home/apt,150.0,2.0,937,2026-06-18,5.62,15,Chicago,Other,Premium ($150-250),Low (0-90 days),Highly Active,2,Growing (2-3 listings),2,2
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vasileios,Unknown,41.93115,-87.71836,Entire home/apt,106.94,32.0,34,2025-12-14,0.21,276,Chicago,Other,Mid-Range ($100-150),Always Available (271-365),Occasional,3,Growing (2-3 listings),3,3
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla,Unknown,41.92218,-87.66079,Private room,126.0,2.0,194,2026-06-08,1.23,177,Chicago,Other,Mid-Range ($100-150),Medium (91-180 days),Regular,1,Casual (1 listing),1,1
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,Unknown,41.88538,-87.69801,Private room,118.22,32.0,22,2018-11-02,0.14,362,Chicago,Other,Mid-Range ($100-150),Always Available (271-365),Occasional,1,Casual (1 listing),1,1
960326,The Penthouse Gallery at OHC,5228189,Matthew,Unknown,41.89602,-87.65659,Entire home/apt,272.33,2.0,541,2026-06-06,3.4,339,Chicago,Other,Luxury ($250+),Always Available (271-365),Highly Active,18,Professional (4+ listings),18,18
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,Unknown,41.86801,-87.67877,Entire home/apt,159.68,32.0,41,2023-09-01,0.25,89,Chicago,Other,Premium ($150-250),Low (0-90 days),Occasional,1,Casual (1 listing),1,1
979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,Unknown,42.00588,-87.66853,Private room,113.0,2.0,398,2026-06-22,2.48,308,Chicago,Other,Mid-Range ($100-150),Always Available (271-365),Regular,4,Professional (4+ listings),4,4
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,Unknown,42.00477,-87.66842,Private room,102.0,2.0,429,2026-06-22,2.68,311,Chicago,Other,Mid-Range ($100-150),Always Available (271-365),Regular,4,Professional (4+ listings),4,4
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,Unknown,42.00378,-87.66807,Private room,102.0,2.0,385,2026-06-18,2.39,315,Chicago,Other,Mid-Range ($100-150),Always Available (271-365),Regular,4,Professional (4+ listings),4,4
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,Unknown,42.00456,-87.67058,Entire home/apt,216.0,2.0,335,2026-06-21,2.11,304,Chicago,Other,Premium ($150-250),Always Available (271-365),Regular,4,Professional (4+ listings),4,4
1020810,Beautiful Condo in Chicago,3843347,Andrea,Unknown,41.89395,-87.62593,Entire home/apt,129.84,32.0,46,2026-02-28,0.29,35,Chicago,Other,Mid-Range ($100-150),Low (0-90 days),Occasional,3,Growing (2-3 listings),3,3
